#{"t_start": 1643378250.1699631, "env_id": null}
r,l,t
-35.1794,149,1.614487
-63.697491,424,10.943146
39.291963,252,15.493979
60.077728,279,21.852603
-89.544626,605,35.43692
-29.0,36,35.945135
17.513846,80,37.808284
-139.082188,613,50.989248
82.93249,304,56.677161
638.39876,1135,82.960174
-26.066789,204,87.08082
-62.987815,613,101.429755
-31.3361,847,119.540193
161.44453,580,130.500366
26.669317,822,150.664165
-71.383252,1224,176.075392
-1.0,1,176.09107
150.66518,1140,199.477167
218.890606,462,210.877059
-5.8,23,211.205629
-105.955105,364,218.296812
163.95474,473,227.951126
0.937117,17,228.196739
17.45119,190,232.481538
32.166331,294,239.778766
-3.026663,111,241.42212
2.073511,36,243.296157
18.358649,73,244.32924
11.0,13,244.513952
-2.252705,40,245.741976
-1.0,1,245.756125
38.0,40,246.318526
-9.94867,51,247.036853
38.212784,86,248.68314
14.000333,506,258.639182
0.240433,199,262.957748
-1.0,1,262.974982
-42.6,53,263.74574
103.332746,158,266.857157
-91.860298,264,272.639088
215.839818,272,277.840925
22.539453,171,281.240065
-24.533946,229,286.541796
-6.6,11,286.699661
-27.034533,393,294.789916
6.8131,132,297.561715
-136.934599,1119,320.987389
-27.666013,121,324.043701
-141.609022,180,328.350977
135.17681,358,334.894984
-22.469859,169,338.971514
507.427338,1215,365.629122
-43.000568,162,368.935503
-6.279439,68,369.950095
54.003011,222,375.373762
-1.226598,282,381.193473
108.978912,488,391.26374
0.226285,252,397.029849
68.867292,559,409.166883
-8.36659,57,409.98287
80.39423,244,415.342406
-8.361418,68,416.597581
248.388684,405,425.196959
107.804875,843,444.188639
64.882994,367,453.3689
34.009547,574,466.747029
100.793425,511,476.860784
-27.270296,344,483.850591
-2.15041,23,484.190871
365.331611,2264,533.956225
-231.107649,573,546.086732
250.257289,494,556.352796
-1.0,1,556.36957
214.200035,1779,592.449142
479.533646,1305,623.433029
80.990346,862,641.745922
259.647563,847,658.997288
-11.439784,214,664.318681
41.98736,191,669.788126
280.219108,1053,694.424412
-6.028567,31,694.870983
16.793491,500,705.92445
0.766282,30,706.354383
67.155781,136,709.699332
137.558355,485,719.672734
152.640754,256,725.762378
-25.502706,85,728.160889
360.227449,821,746.718959
169.693319,530,757.710034
230.934294,379,766.239964
416.01027,1686,803.919344
228.063635,311,811.139999
0.264716,434,819.841157
65.420674,617,831.668241
40.15196,82,833.705462
77.594782,475,842.579274
353.600721,555,854.902586
189.0,191,860.032831
-28.22827,124,862.355194
108.53612,369,870.125331
-47.779013,381,878.936768
-0.003731,19,879.211086
-2.550924,14,879.410574
-13.745894,132,882.07648
110.090405,246,888.182976
128.115003,553,901.24892
18.585387,129,904.741211
225.213953,1669,940.663381
-189.848365,1435,973.352633
532.405335,1204,1000.255545
70.76486,87,1002.204204
210.032187,746,1021.662207
-48.989357,1255,1047.623231
6.480797,204,1051.482185
7.26083,202,1056.79824
-13.624537,196,1061.6659
305.025824,566,1074.667511
102.31875,895,1092.597504
144.972305,1240,1120.201372
374.87162,519,1131.448338
55.62519,243,1136.090872
37.423738,70,1137.941457
-177.22788,512,1148.767571
35.885822,146,1151.345948
27.66033,72,1153.560423
72.636148,331,1159.934469
-2.029738,41,1161.344826
196.33969,302,1168.00502
192.702885,271,1173.20268
-75.177344,303,1180.605857
-93.776786,380,1188.985213
63.0,65,1189.916985
-74.061247,209,1195.093988
37.155502,189,1200.272627
7.434852,42,1201.698437
1.969858,125,1204.183867
-42.738307,135,1206.985537
-20.2,78,1208.108883
7.906047,73,1209.894197
174.463197,495,1219.954187
61.133099,197,1224.434853
17.825616,611,1237.604774
410.232082,678,1253.975765
179.28261,477,1265.623813
-21.8,27,1266.015753
-140.942516,383,1274.196403
-32.118317,250,1280.324279
187.0,194,1284.131098
187.216437,428,1294.317569
94.724486,379,1303.029113
-31.6907,165,1305.975848
-67.654427,159,1310.95213
-477.742391,1471,1340.783069
387.758457,1011,1362.534984
86.545997,357,1370.240789
40.1,455,1379.529319
322.548877,578,1391.967814
280.72685,369,1398.603681
-7.4,9,1399.221285
