#{"t_start": 1643228505.735575, "env_id": null}
r,l,t
-135.074897,427,4.49336
-552.1884,1749,31.937971
-3.215816,19,31.97226
-37.166905,138,33.505044
-1.0,1,33.506945
-385.67377,750,43.228524
-2.901779,102,44.683745
-135.680753,477,48.860143
-202.957633,781,68.404656
-238.397143,858,77.014555
-25.8,32,77.062829
-340.035292,1011,101.131423
-291.661575,1460,120.433344
-32.509477,1282,144.368849
-233.886664,1210,169.211273
-168.186535,687,177.671546
-125.437859,441,183.287634
-389.884202,1070,207.246489
-59.258294,586,214.156223
-694.535737,2648,250.464747
-314.063064,947,272.267672
-79.947684,365,278.752213
40.615757,187,280.726608
-341.042776,1515,313.885496
-324.260405,802,326.682621
-501.987487,1498,357.426887
-388.276885,915,367.172123
-96.798386,401,369.550522
-243.18642,2022,411.9642
-485.374959,1979,453.765144
-91.873674,940,479.966639
-33.8,53,480.050744
-155.008621,698,495.346927
-89.91452,276,502.148728
-114.145798,359,516.061946
-1.0,107,518.16594
-595.419984,2412,583.610996
-10.820767,700,598.948327
-597.910002,1875,641.410666
-257.436704,989,660.237028
-1294.06886,2580,723.631625
188.034494,272,730.297246
-2.624101,489,740.267289
64.652923,378,747.057763
51.338912,235,753.765707
-367.276065,936,784.077862
-482.115244,2172,835.673191
9.407014,468,846.686764
-2.752293,44,846.757715
-357.503269,1846,890.786171
20.876682,1273,919.489601
-1655.157913,7094,1096.765978
-13.62385,345,1103.633788
-4.662604,324,1108.211792
-7.4,9,1108.223875
151.238098,402,1125.194607
-238.87335,1357,1144.250685
-231.517179,3006,1210.05661
-725.44902,3681,1302.729918
-659.351411,1808,1337.027201
-48.242203,316,1354.595037
-71.018727,273,1360.072453
-296.520114,1092,1385.792937
-40.749914,608,1407.163861
-41.789982,184,1408.890853
-117.013119,915,1424.439805
-105.327101,428,1431.824332
-915.563177,2471,1489.008672
-324.811888,759,1504.493086
-341.215173,1634,1540.739742
291.308428,667,1549.571549
-57.466406,406,1553.104007
130.358739,597,1574.027461
179.833287,530,1581.861413
-440.120905,1187,1605.244734
7.736309,95,1606.625749
-288.46121,677,1628.43893
-55.572137,486,1638.773618
-376.676245,1008,1655.000582
277.340554,859,1678.088906
-875.038139,6755,1817.15938
-133.39663,420,1822.814148
279.916827,782,1845.019215
-412.381408,868,1860.789999
-86.31943,362,1865.725999
412.254262,697,1885.836024
457.530741,538,1895.642004
-9.482648,109,1896.79124
-6.401187,87,1898.290752
-22.675761,147,1899.914175
-1437.360686,3197,1985.773029
845.829917,1857,2028.243589
48.426778,82,2029.750131
950.178089,1803,2071.572395
64.753766,164,2074.911775
-92.045419,412,2083.299717
577.984104,817,2103.162562
28.097721,71,2103.280496
42.758632,946,2131.146761
-9.031888,64,2131.232934
-692.699947,2668,2188.091317
-5.064068,13,2188.115322
-63.691196,311,2193.632039
-33.767269,294,2198.439983
-1.064605,2,2198.443934
-442.128442,901,2229.253184
-424.106345,864,2245.002743
771.788174,1480,2280.718386
-629.114002,1704,2316.172079
-62.687938,84,2318.054916
121.914735,383,2323.133413
-249.273305,679,2334.028731
-24.448971,224,2337.964717
0.0,21,2337.993145
877.883985,1178,2369.775979
224.621132,724,2383.270989
215.167504,1142,2418.736584
-194.028237,633,2427.36339
-26.1109,389,2434.588758
-112.903171,146,2446.208768
17.355849,102,2447.690685
19.626704,86,2450.960858
-265.688865,2268,2506.986876
-898.553528,2369,2572.95941
124.540303,1310,2618.056436
-573.367793,1563,2660.43979
-80.098856,314,2665.016427
-2.693409,18,2665.041849
-151.278109,2355,2742.122149
-330.961161,771,2761.422392
56.152025,179,2768.151069
-1348.97209,2443,2829.77403
