#{"t_start": 1643228505.7265432, "env_id": null}
r,l,t
-361.13101,886,9.561149
-68.774357,429,13.248475
-8.133234,53,13.336518
365.249788,607,18.880618
-874.605381,2359,66.505604
-27.897366,249,69.236932
-1639.509323,4498,144.365373
-570.819591,1667,175.287102
-422.192659,1039,187.666743
-17.013592,136,189.956672
-4.264978,109,191.315659
-329.129236,1161,215.00724
-480.539766,2041,244.835966
-270.021574,770,254.812871
-680.448814,2170,297.052944
-325.617301,905,318.017942
335.706005,714,329.556989
-35.203126,500,337.660904
-372.984324,1650,367.154952
-832.527258,2359,410.364229
-1033.969621,2857,477.018153
-257.733653,875,495.332839
-637.78654,1427,537.42494
-1636.606636,7414,716.459359
25.093223,1853,753.784563
-474.408629,1329,791.542015
-427.482081,1251,828.618008
-1.0,1,828.619404
-530.389191,1145,848.893914
156.592352,248,852.497762
-199.838346,967,879.510459
-665.45298,1868,923.036852
-201.36759,761,935.380173
-477.27019,1378,980.045677
-69.0,86,981.609449
128.945418,1829,1023.874196
-526.275245,2108,1074.67465
-4.70102,77,1077.049222
-402.511927,1135,1103.65793
-882.179393,2374,1149.638068
-428.640241,1632,1182.685189
-4.2,5,1182.692177
-2.097706,61,1182.793932
35.670994,151,1187.080144
-262.77694,1152,1214.660069
-521.845584,3725,1307.483169
-4.493568,62,1307.580821
-1.0,1,1307.582328
-3.622221,55,1311.13963
-21.219976,273,1315.267127
-235.482264,3495,1408.785995
-208.848364,2043,1454.440623
-84.013309,328,1459.822309
-27.4,34,1459.874871
-68.794155,396,1463.329651
-292.774181,955,1487.850397
717.623195,1573,1514.172791
-436.774802,1108,1542.143309
7.904649,3627,1621.747719
407.29789,1384,1648.530567
-1.946076,26,1648.565878
-155.517355,600,1666.564672
-11.000144,75,1668.830235
-198.537162,561,1675.737229
658.371465,903,1691.17716
37.902445,2769,1755.813074
-86.313305,502,1762.843807
-12.238429,96,1768.512404
-133.71513,455,1776.075476
44.0,46,1777.785862
371.85876,653,1796.991513
156.812069,3234,1857.295158
-285.574907,733,1866.458863
-54.160803,188,1878.775058
-195.745145,1156,1898.370513
-21.0,26,1898.406386
-1.780412,12,1899.82157
291.478421,4302,2005.527299
-1.0,1,2005.529534
-73.8,92,2007.2149
-149.611141,645,2028.146971
280.73356,3684,2105.585768
-12.2,15,2105.606473
-187.551652,590,2129.568669
578.718226,717,2144.873899
-0.169857,67,2144.980026
-12.69896,129,2146.51529
680.8634,1068,2172.888483
-473.522408,2268,2223.678977
-226.356719,846,2243.81129
-453.720211,1363,2275.584236
401.779774,1090,2294.967246
-884.811261,3005,2364.243174
-29.793559,140,2365.951561
-46.6,101,2367.490593
-193.434014,628,2380.771473
-66.063591,313,2383.362757
-14.293373,117,2388.898452
-178.101163,413,2405.903873
-1209.094683,2901,2464.869224
-133.234094,226,2469.384577
-501.04898,2567,2537.387953
-80.2,100,2548.274751
-5.824422,90,2548.426003
-1035.323843,2411,2628.012979
-1524.193655,3455,2725.087059
-11.644121,528,2749.765691
127.622458,1880,2804.573188
641.868511,971,2826.185803
-121.449566,751,2835.287146
23.441918,89,2836.230695
