#{"t_start": 1643228505.750588, "env_id": null}
r,l,t
-16.2,20,0.168029
-346.467856,852,8.464619
-427.987853,1825,37.770417
-5.21792,37,37.830207
-80.158783,680,46.720863
-29.110061,672,52.818216
-280.2,350,68.376072
-588.367031,1872,101.06669
-279.858215,1002,115.147389
-450.230257,1066,138.356523
-36.809158,372,140.62933
-37.514856,289,144.264198
-469.409112,1309,169.273124
-109.203849,332,175.145277
-457.745019,1123,187.663986
-1.0,1,187.665767
-178.394969,537,206.059967
-59.505927,397,210.223995
-371.357046,1714,237.120885
-214.937107,519,242.818618
-45.446025,262,244.806711
15.879942,158,247.52803
-437.328068,1490,276.763697
10.047533,41,276.831548
-30.621282,217,280.551659
-84.993403,346,284.353617
-42.648116,334,291.217181
-265.303605,680,310.298635
-1.0,1,310.300365
-311.545569,989,324.445855
-106.103751,692,335.927492
-828.901654,2447,386.008214
-426.970115,2549,434.072743
-15.506989,123,435.687076
-13.938765,159,437.240261
-53.398059,291,443.856064
-1.371011,9,445.314581
-414.148849,1172,472.904831
-339.19753,933,489.53666
-45.071755,530,502.894103
-312.116774,908,531.4948
-143.473881,505,543.581006
-709.691442,1978,596.939617
-203.801121,893,613.098093
-5.403793,51,613.166303
-146.516957,863,636.45994
-37.089716,242,641.465851
-76.073495,322,647.016514
-1202.767806,4849,776.242448
-456.241317,1538,798.608806
-1009.902736,2282,853.929418
-511.463731,1916,897.251269
-706.307937,1698,936.761448
-4.238318,21,936.800235
-392.884689,1092,977.363835
-12.239435,144,980.056857
-38.495159,74,981.593613
28.184669,437,988.657798
86.406351,301,996.202382
-748.128617,2341,1050.670691
-937.860693,3756,1138.788291
-7.139007,19,1138.814334
-321.746278,1578,1171.813754
16.299527,1216,1201.555299
-403.081746,1928,1233.10038
-7.395389,58,1248.805427
-416.461054,953,1270.525229
-142.36342,960,1286.190342
-767.155557,3122,1368.130316
-5.588513,68,1370.301126
-237.963717,681,1385.807951
-5.472071,58,1385.906862
-185.345918,1272,1419.50848
-702.131042,2871,1474.137126
500.080267,766,1499.480847
48.0,123,1500.963761
-510.019703,1382,1522.614161
-154.761154,490,1540.688574
-23.276314,311,1543.897727
-230.063891,617,1551.892663
20.343741,487,1558.631458
-67.115464,150,1560.350724
-584.438487,2591,1628.382676
-154.873235,498,1638.739585
-345.398594,3188,1707.349776
-839.287499,1640,1735.272495
-653.218627,1481,1770.550483
-29.679437,189,1775.994387
72.208432,218,1781.410342
-49.509689,352,1784.421416
-14.715666,99,1796.442945
21.640916,2398,1839.707066
-116.584912,516,1850.861817
-145.741313,569,1858.872444
808.338988,3283,1939.56528
-101.49222,439,1949.720304
-544.324595,1926,1992.418509
480.162707,1293,2028.086594
-165.812748,899,2041.776635
-1696.803491,4337,2148.289001
288.007125,1518,2181.977512
423.337734,2957,2247.269105
-319.224752,731,2269.879407
15.15586,155,2271.321486
-3.52688,30,2273.20236
-17.155088,193,2275.619586
-650.295019,2266,2321.586509
-711.021899,2115,2367.622707
-1.0,10,2367.641217
-294.49573,799,2383.280893
-94.155319,520,2405.788454
-2.6,3,2405.794435
-73.104536,402,2415.499821
-266.129749,808,2427.311552
-1045.245645,2784,2500.658794
430.672975,1671,2535.223459
-3.463742,6,2535.233785
37.566461,893,2571.056562
-536.449911,1689,2624.759696
987.099538,1926,2682.82289
-1823.019523,4565,2816.542628
17.459347,53,2816.612376
