#{"t_start": 1643228505.7264555, "env_id": null}
r,l,t
37.111097,66,0.250059
-304.084355,1317,13.993278
-86.489088,351,16.145104
-12.964419,764,34.717036
-1.0,1,34.718831
-347.085352,943,46.786674
-4.265186,65,47.242558
-223.045798,736,64.766389
-56.676665,445,70.111202
-1051.640294,2296,111.110613
-40.851751,422,117.06829
-21.973833,188,117.759791
229.824337,619,136.19868
-168.749229,502,140.606325
-2.359247,48,141.802818
-248.94745,764,149.790235
-8.92832,52,149.872627
-126.60558,956,173.24901
-52.259635,255,176.848599
230.8,391,179.944744
-59.141783,100,181.33366
-43.299989,91,181.461695
-523.583886,1419,210.965473
-276.866548,1205,221.680192
-105.122663,341,235.641747
-20.96908,174,238.848102
-24.2,30,238.903901
-261.267099,1598,256.852692
70.866139,280,268.884925
-436.359549,1027,284.325055
-501.703193,2244,327.768869
-4.866601,29,327.807409
-12.441463,76,329.559942
-37.8,47,329.622074
-813.317306,2800,386.059469
-134.626442,626,395.381989
-8.601423,86,395.496856
-89.934797,445,404.279407
-38.418384,647,412.060521
531.795782,1046,437.310888
-1280.027589,3138,505.568828
-88.9184,233,518.291649
-463.163344,1180,549.224818
160.024445,1563,590.924877
-1.0,1,590.926382
-80.262108,271,598.909881
-296.900615,849,613.190428
-39.4,101,624.692601
-10.148115,121,625.693857
-6.118585,50,625.760539
180.457207,517,636.37379
-403.540526,1103,653.82213
-73.803013,440,675.504645
-590.755529,1575,704.459653
-25.8,32,704.512925
-148.523687,1373,740.169983
-0.164814,39,740.228957
-2240.376722,7062,915.608298
-1037.361888,2414,977.395525
-725.782079,1815,1017.569769
-660.641348,2093,1070.950591
-4.253271,26,1070.991294
14.558069,1136,1096.880053
-60.150943,478,1105.939332
-125.487596,1929,1146.506432
-158.627619,725,1167.228647
-750.659236,2450,1213.509397
-746.007684,2445,1276.938893
-673.926344,3757,1368.101677
630.610441,3314,1452.604413
-266.305782,1243,1465.502123
-887.863911,4511,1557.897715
-37.571395,119,1558.709852
-101.027422,524,1576.574911
-123.582642,3158,1648.43022
-23.769979,246,1652.817622
505.119002,713,1669.675224
-7.4,9,1669.68709
387.648688,691,1681.463495
-106.656454,614,1691.24228
-250.429391,1930,1730.381523
20.087165,695,1752.339436
541.772378,1553,1783.860336
-45.869586,347,1797.064278
-352.512456,1410,1817.235936
-100.296743,814,1839.615313
-149.564434,456,1847.782612
359.246703,834,1860.932024
-2007.530546,7729,2041.838353
-71.607705,423,2051.531274
44.403245,2057,2103.20756
-382.530272,957,2131.087166
133.199261,538,2139.98304
-2.112486,11,2140.002659
-22.634546,29,2140.048183
-56.842701,4380,2241.998042
-7.296095,47,2243.752402
-185.339784,701,2265.065563
1068.069645,3453,2328.809519
-22.213492,170,2331.609995
-53.417406,151,2334.027673
11.460552,50,2336.04332
-124.667244,360,2351.285375
-61.4333,334,2358.074193
-16.240505,93,2359.231771
-186.700203,2186,2415.408648
-9.689116,102,2415.577635
21.994007,275,2420.196555
-189.721607,1173,2447.710861
-239.255606,1543,2475.870109
-8.67786,86,2480.792947
-2617.574384,8557,2739.669129
-38.59454,161,2744.266355
930.031615,1803,2801.259339
