#{"t_start": 1643228505.7984245, "env_id": null}
r,l,t
-503.584169,1010,10.331888
-302.638854,927,18.749501
109.309729,739,37.68802
-161.250038,577,45.491362
-222.090009,1126,68.240364
-39.074987,353,70.115528
-9.309089,127,70.426031
-8.447253,120,71.621211
-171.871297,914,85.842124
-1.272175,17,85.872901
-45.8,57,85.979359
-26.893116,188,100.043335
-158.785254,447,104.378313
-102.989864,455,112.785927
-157.820405,1012,123.227929
-168.724985,586,140.442635
-72.2,90,140.576676
-8.2,10,141.716166
-821.384616,2122,177.435211
44.2367,69,177.552751
54.753331,732,185.884094
-411.90982,1207,212.539922
-498.089066,1130,222.250947
-591.868113,2240,257.438388
13.0,17,257.46822
-123.403732,429,272.244343
-283.293866,1172,291.259939
-988.838334,3123,355.488508
-292.430827,888,366.975345
11.244206,736,385.019946
-385.352598,853,398.96388
-1149.173178,3406,472.773616
-8.482111,97,472.934814
-1.0,1,472.936268
-1.0,1,472.937853
-3.548424,47,474.463799
-5.242624,41,474.534328
-1496.888287,3925,578.13913
-0.477522,670,594.856308
-1347.278623,4815,699.820257
-225.961229,754,721.105621
239.197556,1177,746.857676
-65.801207,279,753.642191
-598.729074,1994,801.371852
-416.416592,1414,842.957815
20.434596,113,845.913644
-7.4,9,845.931368
-81.503141,368,850.856181
-502.447491,1918,896.203233
-88.011188,730,915.671172
-18.567714,180,919.328797
-736.653614,1849,971.190516
-318.99962,933,988.591136
-254.887135,1594,1028.361428
-382.185188,1295,1055.393255
-80.059137,409,1070.924989
-26.738712,139,1074.490597
-767.774228,3052,1140.715532
-394.581274,2682,1199.785922
-5.957841,44,1201.494045
30.757814,211,1204.631981
-87.03246,1074,1222.268493
221.076002,639,1233.036043
280.139197,421,1256.983626
98.767573,456,1266.008409
-254.876993,911,1284.11049
20.964964,24,1285.29457
413.9362,1937,1328.406705
-1.975197,40,1328.4606
635.171553,1040,1363.475999
-95.991284,162,1365.343261
-693.36674,1461,1407.115203
-87.721088,667,1417.531046
-1685.74201,4614,1511.964126
-442.235775,1074,1540.626651
-94.026002,418,1545.606792
-70.153766,313,1549.559921
-310.840495,3058,1621.624736
-17.239868,1123,1643.430518
-27.99642,151,1646.463472
-7.017227,67,1648.344608
-95.200709,499,1654.851093
1067.655522,1807,1691.215554
162.499737,839,1717.959424
-139.360564,414,1720.568536
-323.670823,909,1735.36982
442.605391,1760,1777.906297
-1.0,1,1777.907787
295.850889,1735,1813.695966
10.944511,5529,1940.468629
-826.238979,1888,1985.724144
-28.32317,57,1985.800489
-45.874408,300,1992.229658
-985.476579,4153,2088.26459
-535.943718,1646,2131.102172
-115.760966,430,2136.40409
-718.167205,2436,2190.824973
-1.149002,4,2190.830908
-594.788746,1272,2223.590701
83.714133,1008,2245.020556
77.812994,973,2271.191025
-487.142191,1314,2293.072834
-288.583843,667,2315.6192
-466.231152,2114,2359.076305
-89.467513,199,2361.715784
-3.793406,87,2364.24995
799.632385,1705,2408.548503
-623.776399,2935,2467.449276
131.299142,317,2475.680982
-1433.08977,6043,2654.538963
-542.375823,1446,2705.307277
-98.465003,460,2712.43677
-115.056477,546,2726.719352
-31.713876,300,2742.024184
-2.27322,30,2742.073853
