#{"t_start": 1643228505.802963, "env_id": null}
r,l,t
-87.123636,190,2.070957
238.059384,576,8.256041
-6.289708,37,8.310911
-379.20539,1154,18.7768
-65.67941,394,33.470662
-73.642811,295,37.636492
-402.184341,1380,52.660335
-168.624511,1277,76.948894
-82.787347,699,87.055368
-115.244657,463,102.484961
-423.536228,1145,117.707403
-656.334685,1765,147.748087
-3.752735,22,148.536635
-77.729563,278,151.440161
-61.686,689,169.24973
-301.380699,655,179.151513
-282.88068,2269,216.128697
-291.738648,955,224.20325
-465.530718,1157,247.494978
-341.5543,1120,270.56025
-93.099572,162,272.20873
-107.157859,1149,291.191628
-25.849361,179,295.372787
-1.0,1,295.374355
-222.608369,846,314.862864
-151.958723,404,321.345037
-2.6,3,321.349217
-210.537261,903,335.856399
-184.571092,568,352.824229
-195.357896,598,359.940023
-1.0,9,359.952709
29.489231,314,364.828014
-8.2,27,364.864572
55.969964,93,365.56677
-104.025498,377,368.742138
-586.256133,1353,400.099212
158.562737,613,407.434877
-417.68771,1157,435.596942
-374.077579,2221,483.813596
0.584734,213,487.494032
-140.040721,602,502.05426
-12.120597,129,502.919348
-15.017527,135,504.303018
-661.512217,2775,584.891225
-47.4,59,588.974211
-33.51599,565,598.978565
-384.996061,1590,636.370564
-1.0,1,636.37227
0.0,2,636.37498
-24.898281,269,641.420414
-364.857047,2954,705.795185
-404.318515,1269,740.12521
38.753408,1014,776.30386
-10.115733,208,778.669501
-388.424074,1878,826.348755
-166.623363,1119,846.589504
-1118.885405,2762,902.996696
-185.746573,2493,977.281431
-1544.538504,6061,1123.910866
107.61327,1108,1140.737901
-187.613331,612,1160.093582
640.944257,1350,1178.721207
-114.440767,2906,1252.741537
-375.259244,983,1275.354602
-168.223011,685,1285.43929
-1.090951,7,1285.450969
-660.03177,2004,1333.121787
841.039608,2921,1413.456482
226.90454,1456,1452.394013
35.937797,1230,1464.346241
-222.688188,698,1476.169299
-139.645006,648,1499.495286
-8.257508,62,1500.89659
-18.957519,141,1502.895059
-85.531501,425,1507.782764
-40.168888,180,1511.868343
-127.931822,1350,1542.102811
-12.2,15,1543.726204
461.898553,3300,1606.601446
-1.0,1,1606.603281
-59.528848,2941,1675.67821
18.214521,47,1677.998747
232.484759,722,1689.993073
-1.0,1,1689.995229
-67.455211,1269,1719.706318
80.959108,217,1720.636783
660.746337,1340,1752.327819
814.67583,1883,1797.023013
-1029.319571,3135,1854.858575
190.662535,918,1878.635051
-592.734377,1094,1896.778257
-629.50013,2521,1959.322933
549.852324,1549,1995.436311
-1.0,1,1995.43855
60.92314,317,2005.378037
-621.911078,2324,2055.768682
230.772454,741,2077.197218
-124.47376,424,2086.459529
-106.825795,374,2094.285405
-1.0,1,2094.287117
-446.030919,1043,2126.327143
-868.294755,2529,2178.225352
-199.662392,589,2190.791454
-440.391937,983,2219.09436
-41.822283,204,2221.566903
551.761511,1637,2265.020321
-365.866232,814,2278.549392
-698.626546,2164,2321.49588
-1499.556612,4335,2422.252357
297.60606,1412,2455.094507
121.555176,985,2472.868268
-6.88942,111,2475.724453
0.83187,12,2475.740714
447.862008,962,2507.914011
-11.198643,80,2508.02262
-99.974135,159,2513.442019
-90.86815,456,2524.539928
23.521271,1147,2562.734651
-966.350252,5862,2739.569282
807.194959,1516,2778.117042
14.0,40,2778.884512
145.175824,538,2802.336226
430.414901,980,2826.021763
436.388015,566,2832.097288
